9370;PREVENCEL;;9;Caja Cap.;30;2013-10-24;E21159;34
9371;PRIMPERAN;10mg/2mL;128;Amp.;1;2012-12-18;E15062;396
9372;PROCLAT ALFA;2000UI;128;Caja Vial X 1 mL;1;2013-09-09;BE00167;6
9373;PROFENID;100mg;92;Amp. Liof. + Amp. X 5 mL;1;2009-09-24;E12195;396
9374;PROFENID;100mg/2mL;128;Amp. X 2 mL;25;2014-02-07;E7323;396
9375;PROFENID;100mg/2mL;128;Amp. X 2 mL;3;2014-02-07;E7323;396
9376;PROMALGEN N;500mg;152;Caja Tab.;10;2011-08-16;N143;12
9377;PROPRANOLOL;40mg;152;Caja Tab.;20;2012-05-26;NG542;210
9378;PROXIDOL A;275mg;8;Caja Cap.;120;2007-06-09;N14803;273
9379;PROXIDOL A;275mg;8;Caja Cap.;60;2007-06-09;N14803;273
9380;PROXIDOL;500mg;8;Caja Cap.;100;2007-05-27;N14786;273
9381;PULMOXIL A;500mg;8;Caja Cap.;90;2005-02-24;N17852;256
9382;PULMOXIL AMOXICILINA;250mg;146;Fco. X 60 mL;1;2010-05-24;N17975;273
9383;QUEMICICLINA - S;500mg;8;Caja Cap.;100;2009-12-03;N21474;214
9384;QUINOMAX;400mg;162;Caja Tab.;10;2014-03-25;N19210;282
9385;RANITIDINA;50mg/2mL;128;Amp. X 2 mL;12;2012-12-29;NG732;421
9386;RANITIDINA;150mg;152;150 mg;100;2010-07-13;NG1281;421
9387;RANITIDINA;300mg;152;Caja Tab.;100;2010-05-29;NG1297;421
9388;RANITIDINA;50mg/2mL;128;Amp. X 2 mL;100;2014-04-21;NG1985;282
9389;RANITIDINA;550mg;165;Caja Tab.;100;2009-06-07;EG2561;425
9390;RANOXYL;500mg;8;Caja Cap.;20;2010-03-25;E12555;370
9391;RAPAMUNE;5mg/5mL;124;Fco. X 60 mL;1;2010-06-05;E12941;440
9392;RAPILER;5mg;162;Caja Tab.;10;2010-10-06;N22013;421
9393;RAQUIFEROL;600000UI;112;Amp. X 10 mL;1;2011-08-20;N315;282
9394;REDUCTIL;10mg;8;Caja Cap.;10;2004-11-25;E12333;3
9395;REFLIN;1g;99;Vial;1;2010-03-08;E12679;370
9396;REGAINE;0.02;135;Fco. X 60 mL;1;2005-03-31;E12773;331
9397;REVOTAZ;4.5g;99;Caja Vial;1;2011-03-21;E18261;138
9398;RHINATHIOL NI�OS;0.02;77;Fco. X 125 mL;1;2006-03-27;E9338;396
9399;RHINATHOL ADULTOS;0.05;77;Fco. X 125 mL;1;2006-03-27;E9339;396
9400;RICHERGAN NUEVA FORMULA;;77;Fco. X 150 mL;1;2013-01-12;N4026;421
9401;RIFAMPICINA;300mg;8;Caja Cap.;10;2012-03-19;NG3270;136
9402;RIFOCINA;0.01;136;20 mL;1;2010-09-13;E8732;396
9403;RIGAMINOL;20mg/0.5mL;128;Amp. X 0.5 mL;1;2004-10-20;N13612;282
9404;RILATEN;20mg/2mL;128;Amp.;1;2012-03-14;E14454;50
9405;RILATEN;20mg/2mL;128;Amp.;6;2012-03-14;E14454;50
9406;RILATEN;10mg;63;Caja Grag.;30;2013-12-11;E21329;50
9407;RILATEN;10mg;63;Caja Grag.;90;2013-12-11;E21329;50
9408;RIMACTAZID /PZA;300mg+500mg;28;Combiblister Comp.;1;2009-02-13;N21062;381
9409;RIMACTAZID;300mg+150mg;63;Caja Grag.;20;2012-06-26;N20257;307
9410;RINOBUDEX;0.05mg;137;Fco. X 10 g;60;2011-08-24;E18696;254
9411;RINOBUDEX;0.05mg;137;Fco. X 18 g;140;2011-08-24;E18696;254
9412;RINO SEC;0.009;59;15 mL;1;2007-03-31;N16354;210
9413;ROLETRA;10mg;152;Caja Tab.;10;2010-12-29;E13501;370
9414;ROMESEC;20mg;18;Caja Cap.;20;2010-01-26;E12561;370
9415;ROSUVAS;10mg;162;Caja Tab.;10;2009-02-24;E16269;370
9416;ROSUVAS;20mg;162;Caja Tab.;10;2009-02-24;E16265;370
9417;RYNOBRON;;8;Caja Cap.;20;2010-09-22;N13814;282
9418;RYNOBRON;;141;Fco. X 60 mL;1;2010-09-22;N13812;282
9419;SAL DE ANDREWS LIMON;;91;Sobre X 5 g;12;2009-06-25;N21281;282
9420;SAL DE ANDREWS;;91;Sobre X 5 g;100;2013-05-28;N4133;282
9421;SAL DE ANDREWS;;91;Sobre X 5 g;12;2013-05-28;N4133;282
9422;SALBUREX SOLUCION RESPIRADOR;5mg/mL;127;Fco. X 15 mL;1;2008-07-10;E15686;50
9423;SALBUTAM;2mg/5mL;77;Fco. X 150 mL;1;2008-06-30;N16741;421
9424;SALBUTAMOL;2mg/5mL;77;Fco. X 120 mL;1;2010-10-20;NG1339;228
9425;SALBUTAMOL;2mg/5mL;77;Fco. X 150 mL;12;2012-12-10;NG3549;282
9426;SALBUTAMOL;2mg/5mL;77;Fco. X 120 mL;1;2009-05-26;EG2554;51
9427;SALBUTAMOL;4mg;152;Caja Tab.;100;2009-07-22;EG2602;51
9428;SALES PARA REHIDRATACION ORAL;;90;Sobre X 27.9 g;100;2014-04-05;NG4290;282
9429;SALES PARA REHIDRATACION ORAL;;90;Sobre X 27.9 g;25;2014-04-05;NG4290;282
9430;SALES PARA REHIDRATACION ORAL;;124;1 L;1;2014-04-05;NG4290;282
9431;SARNACUR;;79;Fco. X 120 mL;1;2009-10-29;N21442;273
9432;SATON;10mg;8;Caja Cap.;10;2012-01-17;E19086;164
9433;SATON;15mg;8;Caja Cap.;60;2009-05-18;E16456;164
9434;SECNIDAZOL;250mg;152;Caja Tab.;4;2009-09-20;EG1024;186
9435;SECNIDAZOL;500mg;152;Caja Tab.;40;2011-10-16;NG5121;421
9436;SECOTEX;0.4mg;8;Caja Cap.;10;2012-07-24;E10351;369
9437;SELEGIL;5mg;152;Caja Tab.;20;2007-03-25;E14493;3
9438;SEPTRIN FORTE;800mg+160mg;152;Caja Tab.;10;2012-01-29;E14331;28
9439;SEPTRIN FORTE;800mg+160mg;152;Caja Tab.;100;2012-01-29;E14331;28
9440;SERENIL;0.25mg;152;Caja Tab.;20;2010-11-13;E13354;5
9441;SERENIL;0.5mg;152;Caja Tab.;100;2010-11-14;E13362;5
9442;SERENIL;0.5mg;152;Caja Tab.;20;2010-11-14;E13362;5
9443;SERENIL;1mg;152;Caja Tab.;20;2005-11-14;E13355;5
9444;SERETIDE DISKUS;50mcg+100mcg;96;Aer. X 60 Dosis;1;2009-08-31;E12126;203
9445;SERETIDE EVOHALER;25mcg+125mcg;147;Aer. X 120 Dosis;1;2009-07-15;E16614;203
9446;SERETIDE EVOHALER;250mcg;147;Aer. X 120 Dosis;1;2009-07-15;E16610;203
9447;SERETIDE EVOHALER;25mcg+50mcg;147;Aer. X 120 Dosis;1;2009-07-15;E16611;203
9448;SERLIFT;50mg;162;Caja Tab.;10;2011-01-29;E13586;370
9449;SERTRALINA;50mg;162;Caja Tab.;10;2010-01-10;EG4503;186
9450;SERTRALINA;50mg;152;Caja Tab.;100;2012-11-13;NG5429;421
9451;SEVEDOL;;152;Disp. Tab.;144;2011-11-13;E18928;254
9452;SIBUTRAMINA;15mg;8;Caja Cap.;10;2009-11-02;EG4468;186
9453;SIFICETINA;0.004;26;Fco. Got. X 5 mL;1;2007-08-24;E6108;144
9454;SIFICETINA;0.01;172;Tubo X 5 g;1;2007-07-16;E6036;144
9455;SILFOX;25mg;152;Caja Tab.;10;2007-06-07;E14686;304
9456;SILFOX;25mg;152;Caja Tab.;20;2007-06-07;E14686;304
9457;SILOMAT;40mg;63;Caja Grag.;20;2008-01-12;E10563;369
9458;SILOMAT;20mg/5mL;77;Fco. X 100 mL;1;2010-08-14;N18116;369
9459;SIMFLAT;80mg/mL;61;Fco. X 15 mL;1;2008-10-21;N19061;421
9460;SIMVOR;10mg;162;Caja Tab.;30;2010-10-27;E17736;370
9461;SIMVOR;20mg;162;Caja Tab.;30;2010-10-12;E17685;370
9462;SIMVOR;40mg;162;Caja Tab.;30;2011-12-11;E18987;370
9463;SIMVOR;80mg;162;Caja Tab.;10;2013-11-13;E16000;370
9464;SINEMET CR;50mg+200mg;152;Caja Tab.;10;2011-08-16;E18672;293
9465;SINEMET;25mg+250mg;152;Caja Tab.;30;2013-07-02;E20812;293
9466;SINGULAIR;4mg;66;Sobre X 4 mg;10;2014-03-27;E21637;293
9467;SINGULAIR;4mg;66;Sobre X 4 mg;30;2014-03-27;E21637;293
9468;SINGULAIR;5mg;160;Caja Tab.;10;2013-05-04;E10860;293
9469;SINGULAIR;10mg;162;Caja Tab.;10;2013-04-28;E10854;293
9470;SINOGAN;100mg;152;Caja Tab.;20;2007-11-25;E6303;99
9471;SINOGAN;25mg;152;Caja Tab.;20;2007-12-18;E6330;99
9472;SINUTAB MP;;8;Caja Cap.;144;2001-11-28;N14681;435
9473;SINUTAB MP;;8;Caja Cap.;24;2001-11-28;N14681;435
9474;SINUTAB;;8;Caja Cap.;12;2011-11-05;E9891;235
9475;SINUTAB NS;;152;Caja Tab.;12;2012-03-27;E19265;235
9476;SINUTAB NS;;152;Caja Tab.;24;2012-03-27;E19265;235
9477;SINUTAB TOTAL;;8;Caja Cap.;108;2004-04-15;E11740;435
9478;SINUTAB TOTAL;;8;Caja Cap.;18;2004-04-15;E11740;435
9479;SKILAX;5mg;152;Caja Tab.;20;2012-10-26;N23987;136
9480;SOCIAN;50mg;152;Caja Tab.;10;2010-03-21;E12746;396
9481;SOCIAN;50mg;152;Caja Tab.;30;2010-03-21;E12746;396
9482;SOLONA PLUS;10mg/mL;60;Fco. Got. X 5 mL;1;2011-10-21;N16164;282
9483;SOLUCION POLIELECTROLITICA;;128;Fco. X 1L;1;2014-03-10;NG1949;282
9484;SOMESE;0.125mg;152;Caja Tab.;10;2009-09-26;E7634;331
9485;SOMNO;5mg;152;Caja Tab.;20;2010-06-27;E8470;164
9486;SOMNO;10mg;152;Caja Tab.;20;2010-06-27;E8469;164
9487;SORBAMIN 30 NF S/ELECTROLITOS;;128;Fco. X 1L;1;2012-08-03;N13786;282
9488;SOSTAC;20mg;8;Caja Cap.;30;2004-01-20;E11498;231
9489;SPORIDEX;500mg;8;Caja Cap.;20;2010-03-17;E12726;370
9490;STORVAS;10mg;152;Caja Tab.;10;2011-02-13;E18145;370
9491;STORVAS;10mg;152;Caja Tab.;30;2011-02-13;E18145;370
9492;STORVAS;20mg;152;Caja Tab.;10;2011-02-10;E18141;370
9493;STORVAS;20mg;152;Caja Tab.;30;2011-02-10;E18141;370
9494;STORVAS;40mg;162;Caja Tab.;10;2008-11-07;E15977;370
9495;STORVAS;40mg;162;Caja Tab.;30;2008-11-07;E15977;370
9496;SUERO FISIOLOGICO;0.009;128;Amp. X 20 mL;1;2013-08-11;N12341;282
9497;SULBAMOX IBL;125mg+125mg/5mL;146;Fco. X 60 mL;1;2009-09-05;E7606;34
9498;SULBAMOX IBL;250mg+250mg/5mL;146;Fco. X 60 mL;1;2009-09-05;E7605;34
9499;SULBAMOX IBL;250mg+250mg;152;Caja Tab.;8;2009-09-05;E7604;34
9500;SULBAMOX IBL;1g+500mg;99;Vial + Solv. X 5 mL;1;2009-09-05;E7603;34
9501;SULCRAN;1g;152;Caja Tab.;20;2008-11-13;E11307;5
9502;SULCRAN;1g;152;Caja Tab.;50;2008-11-13;E11307;5
9503;SULFAMETOXAZOL + TRIMETOPRIMA;200mg+40mg/5mL;146;Fco. X 60 mL;1;2014-12-22;NG1153;228
9504;SULFAMETOXAZOL + TRIMETOPRIMA;400mg+80mg/5mL;146;Fco. X 60 mL;1;2006-12-19;NG417;228
9505;SULFAMETOXAZOL + TRIMETOPRIMA;400mg+80mg;152;Caja Tab.;100;2010-06-13;NG1264;228
9506;SULFAMETOXAZOL + TRIMETOPRIMA;400mg+80mg;152;Caja Tab.;200;2010-06-13;NG1264;228
9507;SULFAMETOXAZOL + TRIMETOPRIMA;800mg+160mg;152;Caja Tab.;100;2011-07-24;NG272;228
9508;SULFAGNESIUM;0.1232;128;Amp. X 10 mL;1;2013-03-02;N13900;282
9509;SULFAMETOXAZOL + TRIMETOPRIMA;200mg+40mg/5mL;146;Fco. X 60 mL;1;2009-11-19;EG2724;51
9510;SULFAMETOXAZOL + TRIMETOPRIMA;800mg+160mg;152;Caja Tab.;100;2004-08-05;EG2613;51
9511;SULFANIL NF;0.01;106;Fco. X 10 g;1;2004-10-20;E12248;51
9512;SULFATO FERROSO;75mg/2.5mL;61;Fco. X 30 mL;1;2013-03-16;NG1656;228
9513;SULFATO FERROSO;125mg/ml;61;Fco. X 30 mL;1;2011-01-25;NG1428;228
9514;SULFATO FERROSO;75mg/2.5mL;61;Fco. X 180 mL;1;2013-03-16;NG1656;228
9515;SULFATO FERROSO;75mg/5mL;77;Fco. X 180 mL;1;2014-12-10;NG2220;228
9516;SULFATO FERROSO;300mg;152;Caja Tab.;100;2014-12-22;NG1154;228
9517;SULFATO FERROSO;300mg;152;Caja Tab.;200;2014-12-22;NG1154;228
9518;SULOP;0.15;60;Fco. Got. X 15 mL;1;2011-05-21;N15132;282
9519;SUMETOPRIM BALSAMICO FORTE;;146;Fco. X 100 mL;1;2006-04-12;N18404;217
9520;SUPRAGESIC;0.01;42;Tubo X 30 g;1;2008-04-11;N20629;273
9521;SUPRAMUNN;100mg/mL;124;Fco. X 50 mL;1;2011-05-10;E18385;421
9522;SUPREX;120mg;162;Caja Tab.;30;2002-05-16;N18728;421
9523;SUPRIMASS BALSAMICO;;146;Fco. X 100 mL;1;2011-08-03;N19982;228
9524;SUPRIMASS BALSAMICO;;152;Caja Tab.;50;2012-12-30;N20458;228
9525;SUPRIMASS;200mg+40mg/5mL;146;Fco. X 60 mL;1;2013-07-30;N18959;228
9526;SUPRIMASS FORTE;400mg+80mg/5mL;146;Fco. X 60 mL;1;2013-07-30;N18958;228
9527;SUPRIMASS;400mg+80mg;152;Caja Tab.;100;2015-01-12;N19515;228
9528;SUPRIMASS FORTE;800mg+160mg;152;Caja Tab.;100;2013-07-30;N18960;228
9529;TABRON FOLIC;;152;Caja Tab.;30;2004-07-13;E12005;331
9530;TABRON NF;;152;Caja Tab.;30;2009-07-13;E12006;210
9531;TAMIN B NF;;9;Caja Cap.;30;2001-11-05;E9884;425
9532;TAMOXIFENO;20mg;152;Caja Tab.;100;2014-04-19;NG1088;136
9533;TAMOXIS;20mg;8;Caja Cap.;30;2013-04-10;E20568;34
9534;TAMSUCAR;0.4mg;15;Caja Cap.;20;2010-10-12;N22026;136
9535;TAPAZOL;5mg;152;Caja Tab.;100;2013-11-21;N20950;12
9536;TARGOCID;200mg;99;Vial + Solv. X 3 mL;1;2010-07-27;E8637;396
9537;TARKA;180mg+2mg;15;Caja Cap.;14;2007-02-28;E14421;3
9538;TAYCOVIT;100mg/17mL;128;Caja Amp. X 17 mL;1;2008-08-12;E11074;421
9539;TAYCOVIT;30mg/5mL;128;Caja Amp. X 5 mL;1;2008-08-12;E11075;421
9540;TAYCOVIT;300mg/50mL;128;Caja Fco. Amp. X 50 mL;1;2011-06-06;E18454;421
9541;TEGASIR;6mg;152;Caja Tab.;10;2011-06-06;E18455;5
9542;TEGASIR;6mg;152;Caja Tab.;30;2011-06-06;E18455;5
9543;TENOXICAM;20mg/2mL;99;Amp. X 2 mL;1;2004-11-08;EG1038;186
9544;TENOXICAM;20mg;152;Caja Tab.;10;2005-02-09;EG1137;186
9545;TENUATE DOSPAN;75mg;152;Caja Tab.;30;2008-01-08;E15129;396
9546;TEOFILINA RETARD;125mg;16;Caja Cap.;30;2007-02-28;EG501;186
9547;TEOFILINA RETARD;300mg;16;Caja Cap.;10;2005-06-20;EG1271;186
9548;TEOFILINA;27mg/5mL;77;Fco. X 120 mL;1;2005-12-26;NG0076;210
9549;TERBINAFINA;0.01;42;Tubo X 20 g;1;2012-04-03;EG5326;186
9550;TERRAMICINA;250mg;8;Caja Cap.;120;2008-02-02;E6468;331
9551;TERRAMICINA;500mg;8;Caja Cap.;20;2010-07-14;E17499;331
9552;TETRASONA;250mg;8;Caja Cap.;120;2010-09-18;N4874;282
9553;TETRASONA;500mg;8;Caja Cap.;12;2013-09-25;N19027;282
9554;THIMOGEL GEL;;52;Sachet X 10 g;20;2009-09-08;N21389;143
9555;TIAMAR;9mcg;2;Aer. X 200 Dosis;1;2010-08-08;E17533;50
9556;TIAMINA;300mg;152;Caja Tab.;30;2014-03-16;EG2489;186
9557;TIAZID;50mg;152;Caja Tab.;20;2013-11-04;N20922;6
9558;TIBOGYN;2.5mg;152;Caja Tab.;1;2008-09-25;E15873;5
9559;TIBOLUX;2.5mg;152;Caja Tab.;7;2013-01-21;N20500;136
9560;TIBUTOL;400mg;152;Caja Tab.;50;2014-03-10;N5528;136
9561;TICLID;250mg;63;Caja Grag.;20;2010-01-26;E12560;396
9562;TIFOBIOTIC;500mg;8;Caja Cap.;100;2014-05-30;N17452;282
9563;TILAZEM RETARD;180mg;152;Caja Tab.;10;2009-06-21;E16526;331
9564;TILAZEM RETARD;180mg;152;Caja Tab.;30;2009-06-21;E16526;331
9565;TILAZEM RETARD;90mg;152;Caja Tab.;30;2010-01-25;E12556;331
9566;TIOCONAZOL;0.01;42;Tubo X 30 g;1;2007-07-26;EG3686;186
9567;TIOCONAZOL;0.01;81;Fco. X 30 mL;1;2005-11-13;EG1480;186
9568;TIOF;0.0025;26;Fco. X 10 mL;1;2008-10-07;E15901;164
9569;TIOF PLUS;;123;6 mL;1;2012-04-11;E19305;164
9570;TOBAN F PLUS;2mg+40mg;160;Caja Tab.;100;2012-08-29;N23791;136
9571;TOBAN F;2mg;152;Caja Tab.;300;2013-11-17;N19071;136
9572;TOBRAMIXIN;0.003;123;Fco. X 6 mL;1;2008-07-10;E15685;425
9573;TONALGEN;10mg;152;Caja Tab.;14;2013-08-19;E20930;198
9574;TONALGEN;5mg;152;Caja Tab.;14;2015-03-30;E12767;198
9575;TONVAL;40mg;37;Caja Comp.;7;2013-12-10;E21322;381
9576;TOTASEDAN;3mg;152;Caja Tab.;30;2005-11-22;N18229;381
9577;TOTELLE CICLICO;2mg+0.5mg;63;Caja Grag.;1;2007-10-29;E14938;440
9578;TOTELLE CONTINUO;1mg+0.125mg;63;Caja Grag.;1;2009-05-21;E16468;440
9579;TRAMEDIF;100mg/mL;111;Amp. X 10 mL;1;2012-08-03;N23717;282
9580;TRANQUINAL;1mg;152;Caja Tab.;25;2007-04-12;E14539;34
9581;TRANQUINAL;1mg;152;Caja Tab.;30;2007-04-12;E14539;34
9582;TRANQUINAL;2mg;152;Caja Tab.;30;2007-06-12;E14699;34
9583;TRES B 10000;;148;Amp. + Jer. Prell. x 2 mL;1;2013-12-15;N20983;282
9584;TRIACANA;0.002;42;Tubo X 45 g;1;2009-12-10;N19465;12
9585;TRIAXONE;1g;92;Vial;1;2010-12-27;E17984;138
9586;TRICALMA;0.25mg;152;Caja Tab.;30;2005-11-23;N18238;381
9587;TRICALMA;0.5mg;152;Caja Tab.;30;2011-12-04;E18978;381
9588;TRICONIDAZOL INFANTIL;500mg/5mL;146;Fco. X 20 mL;1;2010-12-01;E8947;5
9589;TRICONIDAZOL FORTE;1g;162;Caja Tab.;2;2010-11-14;E8900;198
9590;TRICONIDAZOL FORTE;1g;162;Caja Tab.;4;2010-11-14;E8900;198
9591;TRINEURAL NF;;148;Amp. X 3 mL;1;2010-09-18;N5539;421
9592;TRINEURAL NF;;8;Caja Cap.;30;2010-09-18;N5808;421
9593;TRINORDIOL;;63;Caja Grag.;1;2010-04-14;E12812;440
9594;TRIOCALCIT;0.25mcg;9;Caja Cap.;30;2013-02-23;E10657;6
9595;TRIOVAL DIA Y NOCHE;;152;Caja Tab.;20;2010-12-28;E17997;164
9596;TROMIX;500mg;152;Caja Tab.;21;2009-09-15;E16750;254
9597;TROPIVAG;;82;Caja Ov.;10;2007-03-11;BE00113;264
9598;TROSYD;0.01;106;Env. X 30 g;1;2008-06-19;E15622;331
9599;TRYPTANOL;25mg;152;Caja Tab.;25;2013-06-13;E15606;293
9600;TUSABRON;;77;Fco. X 100 mL;1;2008-04-17;E10835;34
9601;TWINRIX JUNIOR;;148;Caja Jer. Prell. X 0.5 mL;1;2009-06-04;BE00027;203
9602;TYREX;27mg/5mL;146;Fco. X 120 mL;1;2013-12-20;N17064;228
9603;ULTIVA;1mg;92;Vial;5;2012-03-01;E19190;203
9604;UNIFLAM;550mg;165;Caja Tab.;100;2005-06-30;E8484;425
9605;URAMOL;0.1;79;Fco. X 120 mL;1;2013-06-24;E15637;203
9606;URBADAN;10mg;152;Caja Tab.;20;2012-04-03;E10152;396
9607;URO CEFASABAL NF;400mg;152;Caja Tab.;10;2013-02-16;N13891;210
9608;URODIXIL FORTE;;8;Caja Cap.;180;2011-07-30;N18512;421
9609;URODIXIL FORTE;;8;Caja Cap.;100;2011-07-30;N18512;421
9610;UROTAN;;8;Sobre Cap.;100;2006-04-26;N19918;273
9611;UROTAN PLUS;;8;Caja Cap.;100;2011-11-03;N13626;273
9612;UROVALIDIN NF;250mg+100mg;8;Caja Cap.;100;2012-07-10;N23629;136
9613;URZAC;15mg;152;Caja Tab.;10;2010-02-24;N21591;381
9614;URZAC;15mg;152;Caja Tab.;100;2010-02-24;N21591;381
9615;URZAC;15mg;152;Caja Tab.;30;2010-02-24;N21591;381
9616;URZAC;7.5mg;152;Caja Tab.;10;2010-02-25;N21593;381
9617;URZAC;7.5mg;152;Caja Tab.;100;2010-02-25;N21593;381
9618;URZAC;7.5mg;152;Caja Tab.;30;2010-02-25;N21593;381
9619;VALCOTE;125mg;20;Caja Cap.;100;2013-01-27;E10583;3
9620;VALDECOX;40mg;162;Caja Tab.;10;2009-07-21;E16628;370
9621;VALDECOX;40mg;162;Caja Tab.;100;2009-07-21;E16628;370
9622;VALSARTAN;80mg;162;Caja Tab.;14;2012-01-31;EG5259;186
9623;VALTAN;160mg;152;Caja Tab.;14;2013-01-28;E20235;254
9624;VAPRESAN HCT;160mg+12.5mg;152;Caja Tab.;14;2010-01-17;E17006;381
9625;VAPRESAN HCT;160mg+12.5mg;152;Caja Tab.;28;2010-01-17;E17006;381
9626;VAPRESAN HCT;80mg+12.5mg;152;Caja Tab.;14;2010-01-13;E16997;381
9627;VAPRESAN HCT;80mg+12.5mg;152;Caja Tab.;28;2010-01-13;E16997;381
9628;VAPRESAN;160mg;152;Caja Tab.;14;2010-07-26;E17523;381
9629;VAPRESAN;160mg;152;Caja Tab.;28;2010-07-26;E17523;381
9630;VAPRESAN;80mg;152;Caja Tab.;14;2010-04-11;E17240;381
9631;VAPRESAN;80mg;152;Caja Tab.;28;2010-04-11;E17240;381
9632;VARIBEX;120mg;162;Caja Tab.;10;2011-06-15;N22617;217
9633;VARIBEX;90mg;162;Caja Tab.;10;2011-06-02;N22589;217
9634;VASOTENAL;10mg;162;Caja Tab.;30;2009-05-11;E11802;381
9635;VASOTENAL;20mg;162;Caja Tab.;10;2003-12-22;E11405;381
9636;VASOTENAL;40mg;162;Caja Tab.;10;2011-11-06;E14192;381
9637;VELAMOX;250mg;8;Caja Cap.;9;2009-06-25;E11964;51
9638;VELAMOX CL;500mg+125mg/5mL;146;Fco. X 90 mL;1;2007-12-13;E15036;51
9639;VELAMOX CL;875mg+125mg;162;Caja Tab.;12;2007-05-09;E14621;51
9640;VELOCEF;500mg;8;Caja Cap.;48;2011-04-16;E9390;51
9641;VELOCEF;500mg;8;Caja Cap.;8;2011-04-16;E9390;51
9642;VELOCEF;250mg/5mL;141;Fco. X 60 mL;1;2011-04-29;E9432;51
9643;VELOCEF;500mg;99;Vial + Solv. X 2 mL;1;2012-05-14;E10214;51
9644;VENOFER;100mg/5mL;128;Amp. X 5 mL;1;2016-01-16;E18057;315
9645;VENTIMAX;100mcg/dosis;2;Aer. X 200 Dosis;1;2011-09-03;E14128;6
9646;VENTOLIN;6mg/mL;111;Fco. X 10 mL;1;2004-06-30;E7501;203
9647;VENUX;50mg;162;Caja Tab;20;2013-04-23;N24555;273
9648;VEPESID;50mg;8;Caja Cap.;20;2009-05-24;E16471;51
9649;VERMOFREE;100mg/5mL;146;Fco. X 30 mL;1;2012-05-19;N16477;228
9650;VERMOFREE;100mg;152;Caja Tab.;500;2013-12-12;N17091;228
9651;VIAGRA;50mg;162;Caja Tab.;20;2015-03-21;E12738;331
9652;VIAGRA;50mg;162;Caja Tab.;4;2015-03-21;E12738;331
9653;VIBRAMICINA;100mg;8;Caja Cap.;15;2013-02-06;E20287;331
9654;VIDEORELAX;0.0001;123;Fco. X 5 mL;1;2008-10-15;E11223;144
9655;VIMAX;50mg;160;Caja Tab.;6;2013-09-08;E21003;381
9656;VIMAX;100mg;162;Caja Tab.;2;2012-11-29;E14997;381
9657;VIMAX;50mg;162;Caja Tab.;2;2013-09-08;E21003;381
9658;VIMAX;50mg;162;Caja Tab.;4;2013-09-08;E21003;381
9659;VINORGEN;50mg/5mL;128;Caja Fco. Amp. X 5 mL;1;2012-02-23;E19170;34
9660;VITA FORCE;;77;Fco. X 360 mL;1;2011-08-27;N815;421
9661;VP GEN;100mg/5mL;128;Amp. X 5 mL;1;2012-10-22;E19893;34
9662;VYTORIN;10mg+10mg;152;Caja Tab.;14;2009-08-06;E16647;293
9663;VYTORIN;10mg+20mg;152;Caja Tab.;14;2009-08-06;E16649;293
9664;VYTORIN;10mg+40mg;152;Caja Tab.;14;2009-08-06;E16648;293
9665;VYTORIN;10mg+80mg;152;Caja Tab.;14;2009-08-09;E16651;293
9666;WELLBUTRIN SR;150mg;152;Caja Tab.;15;2004-02-01;E11543;203
9667;WELTON;;77;Fco. X 340 mL;1;2011-09-12;N5771;421
9668;WINTOMYLON;500mg;152;Caja Tab.;12;2015-03-17;E17194;396
9669;WINTOMYLON;500mg;152;Caja Tab.;56;2015-03-17;E17194;396
9670;WINTREX;250mg;152;Caja Tab.;10;2003-09-08;N16956;143
9671;XOPRIN;20mg;8;Caja Cap.;10;2012-11-13;N16536;136
9672;YAX;0.03mg+3mg;162;Caja Tab.;1;2010-10-28;E17740;254
9673;ZATROL;20mg;8;Caja Cap.;15;2010-07-27;E13086;5
9674;ZATROL;20mg;8;Caja Cap.;30;2010-07-27;E13086;5
9675;ZENTEL;400mg;152;Caja Tab.;5;2013-04-24;E20599;203
9676;ZENTIUS;20mg;152;Caja Tab.;30;2011-11-07;E14193;381
9677;ZESTANID;0.001;48;Tubo X 20 g;1;2011-09-19;N22852;6
9678;ZINNAT;250mg/5mL;146;Fco. X 50 mL;1;2012-04-29;E14588;203
9679;ZITROMAX;500mg;152;Caja Tab.;2;2015-01-12;E7841;331
9680;STIEFEL ZNP SHAMPOO;0.015;24;Fco. X 120 mL;1;2007-01-28;E14324;413
9681;ZOCOR;40mg;162;Caja Tab.;10;2011-03-28;E9340;293
9682;ZOFRAN;4mg/2mL;128;Amp. X 2 mL;5;2009-09-29;E16795;203
9683;ZOLIN;0.001;60;Fco. X 15 mL;1;2011-02-07;N15114;282
9684;ZOVIRAX;400mg;152;Caja Tab.;35;2008-03-19;E15370;203
9685;ZYRTEC;10mg;162;Caja Tab.;100;2014-02-20;E21555;203
9686;ZYRTEC;10mg;162;Caja Tab.;20;2014-02-20;E21555;203
9687;GELOFUSINE�;;128;Fco X 500 mL;10;2012-10-16;E10456;33
9688;AMINOPLASMAL 10% E;;128;Fco. X 500 mL;1;2012-10-01;E6195;33
9689;TRACUTIL;;128;Amp. X 10 mL;5;2013-11-17;E11310;33
9690;TRACUTIL;;128;Amp. X 10 mL;50;2013-11-17;E11310;33
9691;DICLOXACILINA;500mg;8;Caja Cap.;50;2008-07-08;EG2316;77
9692;KETOROLACO;10mg;152;Caja Tab.;100;2002-04-07;EG1928;159
9693;VAPORUB;;171;Pote X 100 g;1;2010-08-19;E17575;355
